model,n_samples,fold,accuracy,train_time_per_fold_s
LogReg,50000,1,0.825,0.21290902614593507
LogReg,50000,2,0.845,0.21290902614593507
LogReg,50000,3,0.815,0.21290902614593507
LogReg,50000,4,0.833,0.21290902614593507
LogReg,50000,5,0.841,0.21290902614593507
LogReg,50000,6,0.83,0.21290902614593507
LogReg,50000,7,0.825,0.21290902614593507
LogReg,50000,8,0.827,0.21290902614593507
LogReg,50000,9,0.851,0.21290902614593507
LogReg,50000,10,0.843,0.21290902614593507
LogReg,50000,11,0.823,0.21290902614593507
LogReg,50000,12,0.809,0.21290902614593507
LogReg,50000,13,0.821,0.21290902614593507
LogReg,50000,14,0.824,0.21290902614593507
LogReg,50000,15,0.814,0.21290902614593507
LogReg,50000,16,0.825,0.21290902614593507
LogReg,50000,17,0.843,0.21290902614593507
LogReg,50000,18,0.841,0.21290902614593507
LogReg,50000,19,0.84,0.21290902614593507
LogReg,50000,20,0.847,0.21290902614593507
LogReg,50000,21,0.839,0.21290902614593507
LogReg,50000,22,0.832,0.21290902614593507
LogReg,50000,23,0.842,0.21290902614593507
LogReg,50000,24,0.83,0.21290902614593507
LogReg,50000,25,0.84,0.21290902614593507
LogReg,50000,26,0.828,0.21290902614593507
LogReg,50000,27,0.813,0.21290902614593507
LogReg,50000,28,0.857,0.21290902614593507
LogReg,50000,29,0.853,0.21290902614593507
LogReg,50000,30,0.832,0.21290902614593507
LogReg,50000,31,0.818,0.21290902614593507
LogReg,50000,32,0.846,0.21290902614593507
LogReg,50000,33,0.832,0.21290902614593507
LogReg,50000,34,0.833,0.21290902614593507
LogReg,50000,35,0.838,0.21290902614593507
LogReg,50000,36,0.841,0.21290902614593507
LogReg,50000,37,0.818,0.21290902614593507
LogReg,50000,38,0.832,0.21290902614593507
LogReg,50000,39,0.842,0.21290902614593507
LogReg,50000,40,0.822,0.21290902614593507
LogReg,50000,41,0.822,0.21290902614593507
LogReg,50000,42,0.831,0.21290902614593507
LogReg,50000,43,0.835,0.21290902614593507
LogReg,50000,44,0.831,0.21290902614593507
LogReg,50000,45,0.842,0.21290902614593507
LogReg,50000,46,0.834,0.21290902614593507
LogReg,50000,47,0.824,0.21290902614593507
LogReg,50000,48,0.837,0.21290902614593507
LogReg,50000,49,0.833,0.21290902614593507
LogReg,50000,50,0.817,0.21290902614593507
RidReg,50000,1,0.762,0.010758299827575684
RidReg,50000,2,0.754,0.010758299827575684
RidReg,50000,3,0.737,0.010758299827575684
RidReg,50000,4,0.789,0.010758299827575684
RidReg,50000,5,0.767,0.010758299827575684
RidReg,50000,6,0.776,0.010758299827575684
RidReg,50000,7,0.766,0.010758299827575684
RidReg,50000,8,0.77,0.010758299827575684
RidReg,50000,9,0.788,0.010758299827575684
RidReg,50000,10,0.788,0.010758299827575684
RidReg,50000,11,0.764,0.010758299827575684
RidReg,50000,12,0.737,0.010758299827575684
RidReg,50000,13,0.747,0.010758299827575684
RidReg,50000,14,0.781,0.010758299827575684
RidReg,50000,15,0.762,0.010758299827575684
RidReg,50000,16,0.77,0.010758299827575684
RidReg,50000,17,0.773,0.010758299827575684
RidReg,50000,18,0.77,0.010758299827575684
RidReg,50000,19,0.764,0.010758299827575684
RidReg,50000,20,0.767,0.010758299827575684
RidReg,50000,21,0.769,0.010758299827575684
RidReg,50000,22,0.761,0.010758299827575684
RidReg,50000,23,0.775,0.010758299827575684
RidReg,50000,24,0.761,0.010758299827575684
RidReg,50000,25,0.778,0.010758299827575684
RidReg,50000,26,0.772,0.010758299827575684
RidReg,50000,27,0.776,0.010758299827575684
RidReg,50000,28,0.789,0.010758299827575684
RidReg,50000,29,0.799,0.010758299827575684
RidReg,50000,30,0.783,0.010758299827575684
RidReg,50000,31,0.768,0.010758299827575684
RidReg,50000,32,0.78,0.010758299827575684
RidReg,50000,33,0.776,0.010758299827575684
RidReg,50000,34,0.778,0.010758299827575684
RidReg,50000,35,0.792,0.010758299827575684
RidReg,50000,36,0.781,0.010758299827575684
RidReg,50000,37,0.754,0.010758299827575684
RidReg,50000,38,0.757,0.010758299827575684
RidReg,50000,39,0.775,0.010758299827575684
RidReg,50000,40,0.77,0.010758299827575684
RidReg,50000,41,0.748,0.010758299827575684
RidReg,50000,42,0.775,0.010758299827575684
RidReg,50000,43,0.794,0.010758299827575684
RidReg,50000,44,0.758,0.010758299827575684
RidReg,50000,45,0.771,0.010758299827575684
RidReg,50000,46,0.778,0.010758299827575684
RidReg,50000,47,0.765,0.010758299827575684
RidReg,50000,48,0.757,0.010758299827575684
RidReg,50000,49,0.759,0.010758299827575684
RidReg,50000,50,0.765,0.010758299827575684
